objectid,parentid,title,creator,date,object type,description,subject,current location,former location,format,display_template,object_location,image_small,image_thumb,object_transcript,notes,@
id_0045,,Family Portrait,,1969-05,image,"A man, woman, child, and baby outside of the building at 18th and Spring Garden Streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0045.png,/objects/small/id_0045.png,/objects/thumbs/id_0045.png,,,
id_0046,,Family Portrait,,1969-05,image,Two older women and a man outside of the building at 18th and Spring Garden Streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0046.png,/objects/small/id_0046.png,/objects/thumbs/id_0046.png,,,
id_0047,,Family Portrait,,1969-05,image,"A man, woman, boy, and girl outside of the church at 18th and Spring Garden Streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0047.png,/objects/small/id_0047.png,/objects/thumbs/id_0047.png,,,
id_0048,,Family Portrait,,1969-05,image,A man and woman with three boys and two girls outside of the building at 18th and Spring Garden streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0048.png,/objects/small/id_0048.png,/objects/thumbs/id_0048.png,,,
id_0049,,Family Portrait,,1969-05,image,A man and a woman with a boy and a girl outside of the building at 18th and Spring Garden streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0049.png,/objects/small/id_0049.png,/objects/thumbs/id_0049.png,,,
id_0050,,Family Portrait,,1969-05,image,"A man, woman, and two boys outside of the building at 18th and Spring Garden streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0050.png,/objects/small/id_0050.png,/objects/thumbs/id_0050.png,,,
id_0051,,Family Portrait,,1969-05,image,Two boys outside of the building at 18th and Spring Garden streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0051.png,/objects/small/id_0051.png,/objects/thumbs/id_0051.png,,,
id_0052,,Bride Enters Her Wedding,,1969-06,image,A bride waits to be walked down the aisle,Wedding; Bride,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0052.png,/objects/small/id_0052.png,/objects/thumbs/id_0052.png,,,
id_0053,,Wedding Reception,,1969-06,image,A wedding party sits at a table with a wedding cake,Wedding; Fellowship; Family; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0053.png,/objects/small/id_0053.png,/objects/thumbs/id_0053.png,,,
id_0054,,Group in Front of Services Listing,,1955-1975,image,"A man, woman, and baby smile in front of a sign that lists Highway's upcoming services",Portrait; Services; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0054.png,/objects/small/id_0054.png,/objects/thumbs/id_0054.png,,,
id_0055,,Women Posed for Photograph,,1968-05,image,Two older women smile together,Portrait; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0055.png,/objects/small/id_0055.png,/objects/thumbs/id_0055.png,,,
id_0056,,Wedding Party,,1969-11,image,A bride and groom pose with their bridesmaids and groomsmen,Wedding; Portrait; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0056.png,/objects/small/id_0056.png,/objects/thumbs/id_0056.png,,,
id_0057,,Bride Exits Church,,1955-1975,image,A bride is walked out of her wedding ceremony,Wedding; Fellowship; Bride,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0057.png,/objects/small/id_0057.png,/objects/thumbs/id_0057.png,,"Likely the same wedding as ID_0056, as the photos were originally stored together",
id_0058,,Group Poses in Front of Christmas Tree,,1955-1975,image,Six men pose in front of a Christmas tree,Fellowship; Christmas,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0058.png,/objects/small/id_0058.png,/objects/thumbs/id_0058.png,,,
id_0059,,Roberson Family,,1973-08,image,The Roberson family poses with a dog,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0059.png,/objects/small/id_0059.png,/objects/thumbs/id_0059.png,,,
id_0060,,Pair Pose with Cake,,1973-03,image,"Man and woman pose with a cake that reads ""May the Lord of Love and Peace Be With You"" ",Portrait; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0060.png,/objects/small/id_0060.png,/objects/thumbs/id_0060.png,,,
id_0061,,Boy and Girl,,1973-08,image,A boy and girl are photographed,Portrait; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0061.png,/objects/small/id_0061.png,/objects/thumbs/id_0061.png,,,
id_0062,,Celebrating 200 Years of Sunday School,,1980-10,image,"Betty Roberson and a woman pose with a cake that reads ""200th Anniversary of the Sunday School""",Portrait; Fellowship; Sunday School,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0062.png,/objects/small/id_0062.png,/objects/thumbs/id_0062.png,,,
id_0063,,Women with Gifts,,1973-09,image,Two women are seated with several wrapped presents,Portrait; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0063.png,/objects/small/id_0063.png,/objects/thumbs/id_0063.png,,,
id_0064,,Women Fellowshipping,,1973-09,image,Four women seated with a young girl,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0064.png,/objects/small/id_0064.png,/objects/thumbs/id_0064.png,,,
id_0065,,Women Fellowshipping,,1973-09,image,Women seated at a celebration,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0065.png,/objects/small/id_0065.png,/objects/thumbs/id_0065.png,,,
id_0066,,Women Fellowshipping,,1973-09,image,Five women seated at a celebration,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0066.png,/objects/small/id_0066.png,/objects/thumbs/id_0066.png,,,
id_0067,,Women Fellowshipping with Gifts,,1973-09,image,Women seated with wrapped presents and streamers,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0067.png,/objects/small/id_0067.png,/objects/thumbs/id_0067.png,,,
id_0068,,Bride and Groom,,1974-02,image,A bride and groom stand in front of candles in the sanctuary at 18th and Spring Garden streets,Wedding; Portrait; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0068.png,/objects/small/id_0068.png,/objects/thumbs/id_0068.png,,,
id_0069,,Two Women Smiling,,1974-05,image,Two women smile arm-in-arm,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0069.png,/objects/small/id_0069.png,/objects/thumbs/id_0069.png,,,
id_0070,,Bride with Man,,1974-05,image,A bride poses with a man outside the building at 18th and Spring Garden streets,Wedding; Portrait; Bride,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0070.png,/objects/small/id_0070.png,/objects/thumbs/id_0070.png,,,
id_0071,,Bride with Man,,1974-06,image,A bride poses with a man,Wedding; Portrait; Bride,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0071.png,/objects/small/id_0071.png,/objects/thumbs/id_0071.png,,,
id_0072,,Pair Poses Together,,1974-06,image,An older man and women lock arms outside of the building at 18th and Spring Garden streets,Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0072.png,/objects/small/id_0072.png,/objects/thumbs/id_0072.png,,,
id_0073,,Men and Children Get Refreshments,,1974-09,image,A group congregates at an outdoor refreshments table with streamers,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0073.png,/objects/small/id_0073.png,/objects/thumbs/id_0073.png,,,
id_0074,,Outdoor Fellowship,,1974-09,image,A group speaks at an outdoor fellowship with streamers,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0074.png,/objects/small/id_0074.png,/objects/thumbs/id_0074.png,,,
id_0075,,Outdoor Children's Fellowship,,1974-09,image,A woman speaks to a group of children who are wearing leis in an outdoor wood structure decorated with streamers and a portrait of Snow White,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0075.png,/objects/small/id_0075.png,/objects/thumbs/id_0075.png,,,
id_0076,,Outdoor Children's Fellowship,,1974-09,image,Children watch as two women pie a girl with her head peeking through a sheet of fabric,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0076.png,/objects/small/id_0076.png,/objects/thumbs/id_0076.png,,,
id_0077,,Outdoor Children's Fellowship,,1974-09,image,"A group congregates outdoors for refreshments. Children are wearing leis. An outdoor wood structure has cans of shaving cream, and is decorated with streamers.",Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0077.png,/objects/small/id_0077.png,/objects/thumbs/id_0077.png,,,
id_0078,,Women Share Refreshments,,1974-09,image,A group of older women are seated indoors enjoying refreshments,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0078.png,/objects/small/id_0078.png,/objects/thumbs/id_0078.png,,,
id_0079,,Men Fellowshipping,,1974-09,image,A group of men sit at picnic tables talking,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0079.png,/objects/small/id_0079.png,/objects/thumbs/id_0079.png,,,
id_0080,,Women Pose for Photograph,,1974-10,image,Five older women pose for a photograph outside,Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0080.png,/objects/small/id_0080.png,/objects/thumbs/id_0080.png,,,
id_0081,,Pastor Roberson Speaks at a Podium,,1974-10,image,Pastor Roberson addresses an older audience,Service,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0081.png,/objects/small/id_0081.png,/objects/thumbs/id_0081.png,,,
id_0082,,Man Speaks at a Podium,,1974-10,image,A man addresses an older audience,Service,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0082.png,/objects/small/id_0082.png,/objects/thumbs/id_0082.png,,,
id_0083,,Family Portrait,,1970,image,"A man, women, boy and girl pose for a portrait. Their photograph is labeled ""Bob + Arl""",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0083.png,/objects/small/id_0083.png,/objects/thumbs/id_0083.png,,,
id_0084,,Missionettes,,1955-1975,image,Four missionettes stand on stage,Missionettes; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0084.png,/objects/small/id_0084.png,/objects/thumbs/id_0084.png,,,
id_0085,,Missionettes,,1955-1975,image,"Three missionettes pose with a cake reading ""Honor Stars""",Missionettes; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0085.png,/objects/small/id_0085.png,/objects/thumbs/id_0085.png,,,
id_0086,,Missionettes,,1955-1975,image,Four missionettes and an adult leader stand on stage,Missionettes; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0086.png,/objects/small/id_0086.png,/objects/thumbs/id_0086.png,,,
id_0087,,Missionettes,,1955-1975,image,Three missionettes and an adult leader pose for a photograph,Missionettes; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0087.png,/objects/small/id_0087.png,/objects/thumbs/id_0087.png,,,
id_0088,,Missionette,,1955-1975,image,A missionette cuts a cake,Missionettes; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0088.png,/objects/small/id_0088.png,/objects/thumbs/id_0088.png,,,
id_0089,,Missionettes,,1955-1975,image,Three missionettes pose for a portrait,Missionettes; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0089.png,/objects/small/id_0089.png,/objects/thumbs/id_0089.png,,,
id_0090,,Missionette with Pastor Roberson,,1955-1975,image,A missionette on stage with Pastor Roberson,Missionettes; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0090.png,/objects/small/id_0090.png,/objects/thumbs/id_0090.png,,,
